;Voters;voting_before;voting_normally;voting_outside;Invalid;Valid;Rodina;Kommunisty_rosii;Pensy_za_spravedlivost;Edinaya_rasiya;Green;Grazhd_Platforma;ldpr;Parnas;Rosta;Grazhd_Sila;Yabloko;kprf;Patrioty;Sprav_rasiya
PEC ¹2315;2459;0;754;18;18;754;4.66%;1.81%;2.85%;39.38%;2.46%;0.13%;13.73%;1.81%;3.89%;0.13%;5.96%;12.56%;0.78%;7.51%
PEC ¹2316;2550;0;783;13;11;783;3.53%;2.77%;3.78%;39.55%;2.02%;0.13%;14.23%;1.13%;4.41%;0.25%;6.17%;11.84%;0.76%;8.06%
PEC ¹2317;2035;0;707;12;16;703;3.20%;1.67%;3.34%;41.72%;1.25%;0.42%;15.16%;2.50%;1.81%;0.28%;4.73%;11.96%;0.42%;9.32%
PEC ¹2318;2061;0;669;11;10;670;4.12%;2.65%;3.24%;39.41%;1.62%;0.15%;11.76%;2.50%;5.00%;0.29%;3.38%;16.32%;0.88%;7.21%
PEC ¹2319;2457;0;815;21;14;819;3.72%;2.28%;2.76%;33.01%;1.92%;0.48%;12.00%;3.84%;6.24%;0.48%;9.36%;12.97%;0.96%;8.28%
PEC ¹2320;2097;0;641;28;20;649;3.89%;3.44%;2.69%;34.83%;2.39%;0.15%;12.26%;2.39%;2.84%;0.15%;10.31%;15.25%;0.60%;5.83%
PEC ¹2321;2264;0;740;14;17;734;3.46%;2.13%;3.73%;39.28%;2.40%;0.27%;12.52%;1.60%;2.53%;0.27%;6.92%;13.58%;0.40%;8.66%
PEC ¹2322;2253;0;794;13;15;779;3.90%;1.51%;2.77%;41.18%;1.64%;0.25%;15.99%;2.90%;2.52%;0.76%;5.04%;14.11%;0.25%;5.29%
PEC ¹2323;2563;0;844;8;7;837;4.27%;1.66%;2.13%;35.78%;2.01%;0.12%;13.39%;2.61%;4.15%;0.47%;11.61%;13.63%;1.18%;6.16%
PEC ¹2324;2118;0;688;13;14;685;5.72%;2.43%;3.15%;30.62%;2.00%;0.29%;14.88%;3.15%;5.01%;0.29%;9.16%;15.02%;0.86%;5.44%
PEC ¹2325;2153;0;708;17;13;712;4.69%;0.69%;3.45%;38.48%;2.21%;0.41%;11.86%;2.62%;5.24%;0.41%;6.62%;15.17%;0.55%;5.79%
